data / 8,data,frequency
0,0,6
1,8,0
2,16,0
3,24,0
4,32,0
5,40,0
6,48,0
7,56,0
8,64,0
9,72,0
10,80,0
11,88,0
12,96,0
13,104,0
14,112,0
15,120,0
16,128,0
17,136,0
18,144,0
19,152,0
20,160,0
21,168,16
22,176,146
23,184,233
24,192,76
25,200,38
26,208,144
27,216,215
28,224,101
29,232,12
30,240,4
31,248,6
32,256,0
33,264,1
34,272,0
35,280,1
36,288,0
37,296,0
38,304,0
39,312,0
40,320,0
41,328,0
42,336,0
43,344,0
44,352,0
45,360,0
46,368,0
47,376,0
48,384,1
49,392,0
50,400,0
51,408,0
52,416,0
53,424,0
54,432,0
55,440,0
56,448,0
57,456,0
58,464,0
59,472,0
60,480,0
61,488,0
62,496,0
63,504,0
64,512,0
65,520,0
66,528,0
67,536,0
68,544,0
69,552,0
70,560,0
71,568,0
72,576,0
73,584,0
74,592,0
75,600,0
76,608,0
77,616,0
78,624,0
79,632,0
80,640,0
81,648,0
82,656,0
83,664,0
84,672,0
85,680,0
86,688,0
87,696,0
88,704,0
89,712,0
90,720,0
91,728,0
92,736,0
93,744,0
94,752,0
95,760,0
96,768,0
97,776,0
98,784,0
99,792,0
100,800,0
101,808,0
102,816,0
103,824,0
104,832,0
105,840,0
106,848,0
107,856,0
108,864,0
109,872,0
110,880,0
111,888,0
112,896,0
113,904,0
114,912,0
115,920,0
116,928,0
117,936,0
118,944,0
119,952,0
120,960,0
121,968,0
122,976,0
123,984,0
124,992,0
125,1000,0
126,1008,0
127,1016,0
128,1024,0
129,1032,0
130,1040,0
131,1048,0
132,1056,0
133,1064,0
134,1072,0
135,1080,0
136,1088,0
137,1096,0
138,1104,0
139,1112,0
140,1120,0
141,1128,0
142,1136,0
143,1144,0
144,1152,0
145,1160,0
146,1168,0
147,1176,0
148,1184,0
149,1192,0
150,1200,0
151,1208,0
152,1216,0
153,1224,0
154,1232,0
155,1240,0
156,1248,0
157,1256,0
158,1264,0
159,1272,0
160,1280,0
161,1288,0
162,1296,0
163,1304,0
164,1312,0
165,1320,0
166,1328,0
167,1336,0
168,1344,0
169,1352,0
170,1360,0
171,1368,0
172,1376,0
173,1384,0
