"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"0.25Wresistor","DIP","","","","","","R4 R6 R7 R5 R8 R9 R10 R11","8"
"0.125Wresistor","DIL","","","","","","R2 R3 R1","3"
"B3F-1050","DIP","","","","","","Reset SW2 SW3 SW5","4"
"Capacitor","C","0.1uF","","","","","C15","1"
"Ceramic","C","","","","","","C13 C14 C7 C8 C4 C6 C9 C3 C5 C10 C11","11"
"Ceramic0.2","C","","","","","","C16 C18","2"
"Header2","SIP","","","","","","J2","1"
"Header5","SIP","","","","","","J1","1"
"LEDT1.75","SIP","","","","","","D1","1"
"LM4041","MISC","","","","","","U6","1"
"LogicAnalyzer","DIP","","","","","","J3","1"
"LP2950CZ-3.3","TO220","","","","","","U2","1"
"Speaker","DIP","","","","","","J5","1"
"ST7735","LCD","","","","","","J4","1"
"tantalum","C","","","","","","C12 C2 C1 C17","4"
"testpoint","SIP","","","","","","GND TP2 TP1 PB7 PB0 PB1 DACout","7"
"testpoint","BIG","","","","","","TGND","1"
"TLV5616","DIP","","","","","","U4","1"
"TM4C123GH6PM","LQFP","","","","","","U1","1"
"TPA731","SM","","","","","","U5","1"
"XTAL","NX5032","","","","","","Y1","1"
"","","","","","","","","53"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
